,MUNICIPIO_RES,NOM_MUN,LON_DECIMAL,LAT_DECIMAL,FECHA_INGRESO,TOTAL_POSITIVE,WOMEN_POSITIVE,MEN_POSOTIVE,TOTAL_DEATHS,WOMEN_DEATHS,MEN_DEATHS,TOTAL_UCI,WOMEN_UCI,MEN_UCI
0,1,AcatlÃ¡n,-98.438372,20.145903,01/2020,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,1,AcatlÃ¡n,-98.438372,20.145903,01/2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,AcatlÃ¡n,-98.438372,20.145903,03/2020,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,1,AcatlÃ¡n,-98.438372,20.145903,04/2020,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
4,1,AcatlÃ¡n,-98.438372,20.145903,05/2020,20,9.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0
5,1,AcatlÃ¡n,-98.438372,20.145903,06/2020,9,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0
6,1,AcatlÃ¡n,-98.438372,20.145903,07/2020,41,13.0,15.0,7.0,2.0,5.0,2.0,1.0,1.0
7,1,AcatlÃ¡n,-98.438372,20.145903,08/2020,30,11.0,9.0,5.0,2.0,3.0,1.0,1.0,0.0
8,1,AcatlÃ¡n,-98.438372,20.145903,09/2020,16,3.0,4.0,3.0,1.0,2.0,1.0,0.0,1.0
9,1,AcatlÃ¡n,-98.438372,20.145903,10/2020,12,4.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0
10,1,AcatlÃ¡n,-98.438372,20.145903,11/2020,17,5.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0
11,1,AcatlÃ¡n,-98.438372,20.145903,12/2020,30,6.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0
12,2,AcaxochitlÃ¡n,-98.203244,20.158693,01/2020,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2,AcaxochitlÃ¡n,-98.203244,20.158693,01/2021,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2,AcaxochitlÃ¡n,-98.203244,20.158693,02/2020,3,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
15,2,AcaxochitlÃ¡n,-98.203244,20.158693,03/2020,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2,AcaxochitlÃ¡n,-98.203244,20.158693,04/2020,8,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
17,2,AcaxochitlÃ¡n,-98.203244,20.158693,05/2020,17,3.0,5.0,5.0,1.0,4.0,2.0,1.0,1.0
18,2,AcaxochitlÃ¡n,-98.203244,20.158693,06/2020,30,6.0,10.0,8.0,3.0,5.0,6.0,2.0,4.0
19,2,AcaxochitlÃ¡n,-98.203244,20.158693,07/2020,30,7.0,6.0,5.0,1.0,4.0,1.0,0.0,1.0
20,2,AcaxochitlÃ¡n,-98.203244,20.158693,08/2020,51,13.0,11.0,6.0,1.0,5.0,0.0,0.0,0.0
21,2,AcaxochitlÃ¡n,-98.203244,20.158693,09/2020,30,8.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0
22,2,AcaxochitlÃ¡n,-98.203244,20.158693,10/2020,39,6.0,7.0,7.0,4.0,3.0,2.0,0.0,2.0
23,2,AcaxochitlÃ¡n,-98.203244,20.158693,11/2020,27,5.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0
24,2,AcaxochitlÃ¡n,-98.203244,20.158693,12/2020,47,11.0,11.0,7.0,3.0,4.0,3.0,3.0,0.0
25,3,Actopan,-98.942901,20.269086,01/2020,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,3,Actopan,-98.942901,20.269086,01/2021,41,10.0,14.0,7.0,1.0,6.0,1.0,0.0,1.0
27,3,Actopan,-98.942901,20.269086,02/2020,9,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0
28,3,Actopan,-98.942901,20.269086,03/2020,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,3,Actopan,-98.942901,20.269086,04/2020,18,2.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0
30,3,Actopan,-98.942901,20.269086,05/2020,49,11.0,14.0,10.0,4.0,6.0,4.0,2.0,2.0
31,3,Actopan,-98.942901,20.269086,06/2020,65,16.0,22.0,8.0,2.0,6.0,0.0,0.0,0.0
32,3,Actopan,-98.942901,20.269086,07/2020,67,19.0,26.0,8.0,4.0,4.0,1.0,1.0,0.0
33,3,Actopan,-98.942901,20.269086,08/2020,105,26.0,44.0,19.0,4.0,15.0,0.0,0.0,0.0
34,3,Actopan,-98.942901,20.269086,09/2020,89,26.0,24.0,12.0,2.0,10.0,0.0,0.0,0.0
35,3,Actopan,-98.942901,20.269086,10/2020,67,12.0,24.0,13.0,1.0,12.0,5.0,0.0,5.0
36,3,Actopan,-98.942901,20.269086,11/2020,95,30.0,30.0,11.0,7.0,4.0,1.0,0.0,1.0
37,3,Actopan,-98.942901,20.269086,12/2020,119,29.0,39.0,19.0,5.0,14.0,0.0,0.0,0.0
